приложение;успех_1;попыток_1;заметки_1;успех_2;попыток_2;заметки_2;успех_3;попыток_3;заметки_3
аудиоплеер;1;1;;1;2;;1;1;
генератор QR-кодов;0;2;"Приложение выдало Выполните в терминале: pip install qrcode pillow
После установки ошибку пишет также.";1;1;;1;1;
записная книжка;1;1;Получился просто блокнот (текстовый редактор);1;1;;1;1;просто блокнот
игра Змейка;1;1;;1;1;;1;1;вкусняшки спавнятся не на путях движения змейки, а между ними, не очевидно по какому пути ползти, чтобы съесть
игра Сапер;1;1;;1;1;;1;1;
калькулятор;1;1;странные кнопки;1;1;"большиче числа не вмещаются в экран. 
Плавающую точку не видно";1;1;косяк со шрифтами (светлое на светлом)
приложение для просмотра изображений;1;1;нет зума и автомасштабирования;1;2;нельзя листать внутри папки;1;1;
приложение показа погоды;1;1;;1;1;косяк со шрифтами (светлое на светлом);1;1;косяк со шрифтами (светлое на светлом)
простой браузер;1;1;;0;5;не удалось исправить ошибки;0;5;
простой редактор изображений;1;1;"можно только поворачивать и менять цветовую гамму
Blur непонятно что делает";1;1;"только поворт и чб -фильтр
Blur непонятно что делает";1;1;"только поворт и чб -фильтр
"
секундомер;1;1;;1;1;нет кругов;1;1;нет кругов
список дел;1;1;;1;1;косяк со шрифтами (светлое на светлом);1;1;
таймер;1;1;;1;1;;1;1;
текстовый редактор;1;1;;1;1;;1;2;
тетрис;0;1;нарушено обновление экрана. Фигуры телепортируются вниз.;1;1;;1;2;
файловый менеджер;1;1;;1;2;нельзя вставлять и копировать;1;1;нельзя вставлять и копировать
